sequence,obstacle_count,representation_scope,obstacle_radius_m,safety_distance_m,inflated_radius_m,circle_area_m2,inflated_circle_area_m2,occupancy_resolution_m,bbox_min_x_m,bbox_max_x_m,bbox_min_y_m,bbox_max_y_m,bounding_box_area_m2,occupancy_grid_cells,occupancy_blocked_cells,occupancy_area_m2,occupancy_fill_ratio,bbox_over_occupancy_ratio
32,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
33,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
34,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
35,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
36,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
37,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
38,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
39,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
40,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
41,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
42,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
43,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
44,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
45,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
46,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
47,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
48,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
49,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
50,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
51,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
52,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
53,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
54,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
55,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
56,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
57,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
58,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
59,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
60,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
61,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
62,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
63,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
64,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
65,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
66,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
67,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
116,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
117,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
118,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
119,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
