feature_group,features,model,target,class_weight,resample_train,threshold,threshold_metric,feature_rows,train_trials,test_trials,train_positive_rate,test_positive_rate,train_class_counts,test_class_counts,majority_accuracy,model_accuracy,model_macro_f1,model_balanced_accuracy,beats_majority,recall_future_risk,recall_no_future_risk
radar,radar_rd_peak radar_rd_range_bin radar_rd_doppler_bin radar_rd_energy radar_rd_near_energy radar_rd_doppler_spread radar_rd_range_spread,random_forest,future_risk_label,balanced,oversample,0.9,macro_f1,801,1 2 3 4 5 6 7 8 9 10,11 12 13 14 15,0.054,0.0286,no_future_risk:526 future_risk:30,no_future_risk:238 future_risk:7,0.9714,0.9714,0.4928,0.5,0,0.0,1.0
camera_depth,depth_min depth_p10 depth_median,random_forest,future_risk_label,balanced,oversample,0.4,macro_f1,801,1 2 3 4 5 6 7 8 9 10,11 12 13 14 15,0.054,0.0286,no_future_risk:526 future_risk:30,no_future_risk:238 future_risk:7,0.9714,0.9184,0.4787,0.4727,0,0.0,0.9454
depth_radar_imu,depth_min depth_p10 depth_median radar_rd_peak radar_rd_range_bin radar_rd_doppler_bin radar_rd_energy radar_rd_near_energy radar_rd_doppler_spread radar_rd_range_spread imu_acc_norm imu_gyro_norm,random_forest,future_risk_label,balanced,oversample,0.3,macro_f1,801,1 2 3 4 5 6 7 8 9 10,11 12 13 14 15,0.054,0.0286,no_future_risk:526 future_risk:30,no_future_risk:238 future_risk:7,0.9714,0.9551,0.4885,0.4916,0,0.0,0.9832
