dataset,sample,archive,db3,db_size_gib,duration_s_estimated,topic_id,topic_name,topic_type,message_count
ARCO,TrafficMonitoring,/workspace/data/arco/TrafficMonitoring.zip,data/processed/arco_rosbag_probe/TrafficMonitoring/TrafficMonitoring/rosbag2_2024_05_23-15_55_45_0.db3,1.8113,121.7695,1,/tf_static,tf2_msgs/msg/TFMessage,6
ARCO,TrafficMonitoring,/workspace/data/arco/TrafficMonitoring.zip,data/processed/arco_rosbag_probe/TrafficMonitoring/TrafficMonitoring/rosbag2_2024_05_23-15_55_45_0.db3,1.8113,121.7695,2,/ouster/points,sensor_msgs/msg/PointCloud2,1117
ARCO,TrafficMonitoring,/workspace/data/arco/TrafficMonitoring.zip,data/processed/arco_rosbag_probe/TrafficMonitoring/TrafficMonitoring/rosbag2_2024_05_23-15_55_45_0.db3,1.8113,121.7695,3,/tf,tf2_msgs/msg/TFMessage,4073
ARCO,TrafficMonitoring,/workspace/data/arco/TrafficMonitoring.zip,data/processed/arco_rosbag_probe/TrafficMonitoring/TrafficMonitoring/rosbag2_2024_05_23-15_55_45_0.db3,1.8113,121.7695,4,/ouster/imu,sensor_msgs/msg/Imu,12177
ARCO,TrafficMonitoring,/workspace/data/arco/TrafficMonitoring.zip,data/processed/arco_rosbag_probe/TrafficMonitoring/TrafficMonitoring/rosbag2_2024_05_23-15_55_45_0.db3,1.8113,121.7695,5,/Status,ars548_messages/msg/Status,2435
ARCO,TrafficMonitoring,/workspace/data/arco/TrafficMonitoring.zip,data/processed/arco_rosbag_probe/TrafficMonitoring/TrafficMonitoring/rosbag2_2024_05_23-15_55_45_0.db3,1.8113,121.7695,6,/PointCloudObject,sensor_msgs/msg/PointCloud2,2436
ARCO,TrafficMonitoring,/workspace/data/arco/TrafficMonitoring.zip,data/processed/arco_rosbag_probe/TrafficMonitoring/TrafficMonitoring/rosbag2_2024_05_23-15_55_45_0.db3,1.8113,121.7695,7,/PointCloudDetection,sensor_msgs/msg/PointCloud2,2436
ARCO,TrafficMonitoring,/workspace/data/arco/TrafficMonitoring.zip,data/processed/arco_rosbag_probe/TrafficMonitoring/TrafficMonitoring/rosbag2_2024_05_23-15_55_45_0.db3,1.8113,121.7695,8,/ObjectList,ars548_messages/msg/ObjectList,2436
ARCO,TrafficMonitoring,/workspace/data/arco/TrafficMonitoring.zip,data/processed/arco_rosbag_probe/TrafficMonitoring/TrafficMonitoring/rosbag2_2024_05_23-15_55_45_0.db3,1.8113,121.7695,9,/arco/idmind_imu/imu,sensor_msgs/msg/Imu,8349
ARCO,TrafficMonitoring,/workspace/data/arco/TrafficMonitoring.zip,data/processed/arco_rosbag_probe/TrafficMonitoring/TrafficMonitoring/rosbag2_2024_05_23-15_55_45_0.db3,1.8113,121.7695,10,/DirectionVelocity,geometry_msgs/msg/PoseArray,2436
ARCO,TrafficMonitoring,/workspace/data/arco/TrafficMonitoring.zip,data/processed/arco_rosbag_probe/TrafficMonitoring/TrafficMonitoring/rosbag2_2024_05_23-15_55_45_0.db3,1.8113,121.7695,11,/DetectionList,ars548_messages/msg/DetectionList,2436
