feature_group,features,model,target,class_weight,resample_train,threshold,threshold_metric,feature_rows,train_trials,test_trials,train_positive_rate,test_positive_rate,train_class_counts,test_class_counts,majority_accuracy,model_accuracy,model_macro_f1,model_balanced_accuracy,beats_majority,recall_future_risk,recall_no_future_risk
radar,radar_peak radar_peak_bin radar_energy,random_forest,future_risk_label,balanced,oversample,0.8,macro_f1,1096,1 2 3 4 5 6 7 8 9 10 184 185 186 187,188 189 190 191 192 345,0.0711,0.1615,no_future_risk:719 future_risk:55,no_future_risk:270 future_risk:52,0.8385,0.8385,0.4561,0.5,0,0.0,1.0
camera_depth,depth_min depth_p10 depth_median,random_forest,future_risk_label,balanced,oversample,0.4,macro_f1,1096,1 2 3 4 5 6 7 8 9 10 184 185 186 187,188 189 190 191 192 345,0.0711,0.1615,no_future_risk:719 future_risk:55,no_future_risk:270 future_risk:52,0.8385,0.7919,0.5269,0.5266,0,0.1346,0.9185
radar_imu,radar_peak radar_peak_bin radar_energy imu_acc_norm imu_gyro_norm,random_forest,future_risk_label,balanced,oversample,0.8,macro_f1,1096,1 2 3 4 5 6 7 8 9 10 184 185 186 187,188 189 190 191 192 345,0.0711,0.1615,no_future_risk:719 future_risk:55,no_future_risk:270 future_risk:52,0.8385,0.8385,0.4561,0.5,0,0.0,1.0
depth_radar_imu,depth_min depth_p10 depth_median radar_peak radar_peak_bin radar_energy imu_acc_norm imu_gyro_norm,random_forest,future_risk_label,balanced,oversample,0.45,macro_f1,1096,1 2 3 4 5 6 7 8 9 10 184 185 186 187,188 189 190 191 192 345,0.0711,0.1615,no_future_risk:719 future_risk:55,no_future_risk:270 future_risk:52,0.8385,0.854,0.5615,0.5558,1,0.1154,0.9963
