sequence,method,path_length_3d_m,duration_s,smoothness_3d_turn_angle,max_turn_angle_rad,curvature_energy,accel_energy,jerk_energy,planner_compute_time_ms,trajectory_points,metric_scope
10,rrt_star,6.0999,14.425,0.0,0.0,0.0,0.0,0.0,2.0452,240,3d_arclength_resampled_path_geometry_no_velocity_command
10,mppi,6.0999,14.425,0.0,0.0,0.0,0.0,0.0,65.546,240,3d_arclength_resampled_path_geometry_no_velocity_command
11,human,8.8736,14.725,0.961598,3.127596,697.569066,192.973032,414928.26758,0.0,240,3d_arclength_resampled_path_geometry_no_velocity_command
11,rrt,6.5102,14.725,0.0,0.0,0.0,0.0,0.0,2.2445,240,3d_arclength_resampled_path_geometry_no_velocity_command
11,rrt_star,6.5102,14.725,0.0,0.0,0.0,0.0,0.0,2.4409,240,3d_arclength_resampled_path_geometry_no_velocity_command
11,mppi,6.5102,14.725,0.0,0.0,0.0,0.0,0.0,65.8782,240,3d_arclength_resampled_path_geometry_no_velocity_command
12,human,6.2702,8.4375,0.041539,1.702284,60.35115,44.712189,128337.030647,0.0,240,3d_arclength_resampled_path_geometry_no_velocity_command
12,rrt,6.2357,8.4375,0.011904,1.579613,17.486662,10.807146,19411.924429,1.407,240,3d_arclength_resampled_path_geometry_no_velocity_command
12,rrt_star,5.7152,8.4375,1.2e-05,0.035344,0.020179,0.020175,48.222913,1085.3998,240,3d_arclength_resampled_path_geometry_no_velocity_command
12,mppi,5.7525,8.4375,0.000117,0.112365,0.201163,0.200759,487.496773,66.4719,240,3d_arclength_resampled_path_geometry_no_velocity_command
13,human,8.1697,10.7125,0.030824,1.800826,26.379853,21.350227,33370.586663,0.0,240,3d_arclength_resampled_path_geometry_no_velocity_command
13,rrt,6.0083,10.7125,0.0,0.0,0.0,0.0,0.0,1.5132,240,3d_arclength_resampled_path_geometry_no_velocity_command
13,rrt_star,6.0083,10.7125,0.0,0.0,0.0,0.0,0.0,1.5789,240,3d_arclength_resampled_path_geometry_no_velocity_command
13,mppi,6.0083,10.7125,0.0,0.0,0.0,0.0,0.0,64.0821,240,3d_arclength_resampled_path_geometry_no_velocity_command
14,human,5.7103,9.825,0.027388,1.265299,47.97799,38.306783,104970.570247,0.0,240,3d_arclength_resampled_path_geometry_no_velocity_command
14,rrt,3.9728,9.825,0.0,0.0,0.0,0.0,0.0,1.481,240,3d_arclength_resampled_path_geometry_no_velocity_command
14,rrt_star,3.9728,9.825,0.0,0.0,0.0,0.0,0.0,1.3993,240,3d_arclength_resampled_path_geometry_no_velocity_command
14,mppi,3.9728,9.825,0.0,0.0,0.0,0.0,0.0,64.2795,240,3d_arclength_resampled_path_geometry_no_velocity_command
15,human,1.77,5.6,0.02818,1.603207,513.816001,377.451663,15945223.931089,0.0,240,3d_arclength_resampled_path_geometry_no_velocity_command
15,rrt,0.9412,5.6,0.0,0.0,0.0,0.0,0.0,0.8148,240,3d_arclength_resampled_path_geometry_no_velocity_command
15,rrt_star,0.9412,5.6,0.0,0.0,0.0,0.0,0.0,0.8125,240,3d_arclength_resampled_path_geometry_no_velocity_command
15,mppi,0.9412,5.6,0.0,0.0,0.0,0.0,0.0,64.6814,240,3d_arclength_resampled_path_geometry_no_velocity_command
345,human,9.1081,12.325,0.037919,1.741877,26.109311,15.724304,16578.034269,0.0,240,3d_arclength_resampled_path_geometry_no_velocity_command
345,rrt,7.2963,12.325,0.000987,0.409778,1.058751,1.018612,1201.085431,2.514,240,3d_arclength_resampled_path_geometry_no_velocity_command
345,rrt_star,7.044,12.325,0.000656,0.241337,0.755671,0.751471,1260.590038,926.4022,240,3d_arclength_resampled_path_geometry_no_velocity_command
345,mppi,7.1079,12.325,0.00065,0.389821,0.735282,0.724041,1419.17961,118.206,240,3d_arclength_resampled_path_geometry_no_velocity_command
