planner,input,process,waypoints,trajectory_points,path_length_m,min_clearance_m,safety_violation,output_preview
A*,"start=[0.0, 0.0], goal=[6.4, 0.0], obstacles=[[2.0, 1.0], [4.2, -0.8]], obstacle_radius=0.35, safety_distance=0.5","Build occupancy grid, inflate obstacles by obstacle radius + safety distance, search 8-neighbor cells with g+h cost, reconstruct cell path.",65,200,6.4773,0.5083,0,"(0.00,0.00) -> (0.10,0.00) -> (0.20,0.00) -> (0.30,0.00) -> (6.10,0.10) -> (6.20,0.10) -> (6.30,0.00) -> (6.40,0.00)"
RRT,"start=[0.0, 0.0], goal=[6.4, 0.0], obstacles=[[2.0, 1.0], [4.2, -0.8]], obstacle_radius=0.35, safety_distance=0.5","Sample continuous points, steer from nearest tree node, reject nodes/edges that intersect inflated obstacles, shortcut the first found path.",3,200,7.0202,0.5044,0,"(0.00,0.00) -> (-0.27,0.22) -> (6.40,0.00)"
RRT*,"start=[0.0, 0.0], goal=[6.4, 0.0], obstacles=[[2.0, 1.0], [4.2, -0.8]], obstacle_radius=0.35, safety_distance=0.5","Sample continuous points like RRT, choose lower-cost parent from neighbors, rewire nearby nodes, keep the best connection to the goal.",10,200,6.4047,0.5061,0,"(0.00,0.00) -> (0.64,-0.02) -> (1.37,-0.05) -> (1.68,-0.02) -> (3.39,0.03) -> (3.72,0.04) -> (4.39,0.06) -> (6.40,0.00)"
MPPI,"start=[0.0, 0.0], goal=[6.4, 0.0], obstacles=[[2.0, 1.0], [4.2, -0.8]], obstacle_radius=0.35, safety_distance=0.5","Start from a geometric bypass path, sample noisy trajectory rollouts, score length/smoothness/clearance/collision, update the mean path by cost-weighted noise.",60,200,6.4304,0.505,0,"(0.00,0.00) -> (0.11,0.01) -> (0.22,0.02) -> (0.33,0.02) -> (6.08,0.04) -> (6.18,0.03) -> (6.29,0.01) -> (6.40,0.00)"
