frame,time_s,x,y,vx_mps,vy_mps,ax_sp_mps2,ay_sp_mps2,speed_mps,true_clearance_m,mppi_min_clearance_m,compute_ms,target_idx,collision
0,0.0,0.6082658639069047,-2.160114464110909,0.23554886589087282,0.16571279907576117,1.9629072157572736,1.38093999229801,0.288,0.6998855358890913,0.15000000596046448,51.00958188995719,1,0
1,0.1,0.651265612330073,-2.122709364765804,0.358331236859735,0.31170916120920544,1.023186424740518,1.216636351112036,0.47493565510621955,0.737290635234196,0.15000000596046448,42.792025953531265,1,0
2,0.2,0.7103087244581686,-2.0884221712626316,0.492025934400797,0.2857266125264372,1.1141224795088505,-0.21652123902306836,0.5689720706931143,0.7715778287373686,0.15000000596046448,41.914317989721894,1,0
3,0.3,0.7772474717023727,-2.0500155773016226,0.5578228937017014,0.32005494967507425,0.5483079941742032,0.2860694762386421,0.6431186139035737,0.8099844226983776,0.15000000596046448,41.93376889452338,1,0
4,0.4,0.8509066034730731,-2.006593836315605,0.6138260980891697,0.36184784155014865,0.4666933698955696,0.3482740989589532,0.712542166562707,0.8534061636843954,0.30000001192092896,42.32688108459115,1,0
5,0.5,0.9152988865615662,-1.9661277012093432,0.5366023590707758,0.3372177925521793,-0.6435311584866158,-0.2052504083164113,0.633764886510831,0.893872298790657,0.30000001192092896,42.00124111957848,1,0
6,0.6,0.9806826996205917,-1.935381645293689,0.5448651088252128,0.2562171326304522,0.06885624795364126,-0.6750054993477259,0.6021006609101851,0.9246183547063113,0.30000001192092896,42.73623391054571,1,0
7,0.7,1.0354866293916312,-1.9031454233355845,0.45669941475866166,0.2686351829842041,-0.7347141172212595,0.10348375294793248,0.5298482961922788,0.9568545766644158,0.30000001192092896,42.27782995440066,1,0
8,0.8,1.113214530303934,-1.8465028770545988,0.6477325076025235,0.4720212190082143,1.5919424403655156,1.6948836335334188,0.8014745364632951,1.0134971229454013,0.30000001192092896,41.72414191998541,2,0
9,0.9,1.2204905521438911,-1.771935427715445,0.8939668486663089,0.6213954111596144,2.0519528421982116,1.2447849345950008,1.088718964436919,1.088064572284555,0.30000001192092896,43.014663038775325,2,0
10,1.0,1.336114166168789,-1.6891057660825988,0.963530116874149,0.6902471802737189,0.5796939017320006,0.5737647426175381,1.185255860985016,1.1708942339174013,0.30000001192092896,43.06014394387603,2,0
11,1.1,1.4440826028683327,-1.601733396863364,0.8997369724961983,0.7281030768269565,-0.5316095364829218,0.3154658046103138,1.1574371301118285,1.258266603136636,0.30000001192092896,42.36159194260836,2,0
12,1.2,1.547112783945718,-1.5225374868545205,0.858584842311543,0.6599659167403623,-0.34293441820546144,-0.5678096673882851,1.0829233318689204,1.3374625131454796,0.44999998807907104,42.52553707920015,2,0
13,1.3,1.6490119554000713,-1.4422387091628606,0.8491597621196117,0.6691564807638336,-0.07854233493276053,0.07658803352892765,1.081130286945692,1.4177612908371395,0.30000001192092896,42.48704598285258,2,0
14,1.4,1.7374693157973962,-1.3656608754350916,0.7371446699777073,0.6381486143980755,-0.9334591011825369,-0.2583988863813179,0.9749953428271987,1.4943391245649085,0.44999998807907104,42.07228310406208,2,0
15,1.5,1.8157487055706956,-1.2868130443870929,0.6523282481108292,0.6570652587333234,-0.706803515557318,0.15763870279373285,0.9258870868079071,1.5731869556129072,0.44999998807907104,41.752812918275595,2,0
16,1.6,1.8842967767776289,-1.2179019290831765,0.5712339267244447,0.5742592941993021,-0.6757860115532045,-0.6900497044501782,0.8099888493154143,1.5557032232223709,0.44999998807907104,42.15736594051123,2,0
17,1.7,1.9439864400373277,-1.1569229293299326,0.4974138604974906,0.5081583312770332,-0.6151672185579511,-0.5508413576855743,0.7110875039411648,1.496013559962672,0.44999998807907104,42.263809125870466,2,0
