feature_group,features,model,target,class_weight,resample_train,threshold,threshold_metric,feature_rows,train_trials,test_trials,train_positive_rate,test_positive_rate,train_class_counts,test_class_counts,majority_accuracy,model_accuracy,model_macro_f1,model_balanced_accuracy,beats_majority,recall_future_risk,recall_no_future_risk
radar,radar_peak radar_peak_bin radar_energy,random_forest,future_risk_label,balanced,oversample,0.05,future_risk_recall,1096,1 2 3 4 5 6 7 8 9 10 184 185 186 187,188 189 190 191 192 345,0.0711,0.1615,no_future_risk:719 future_risk:55,no_future_risk:270 future_risk:52,0.8385,0.7236,0.6533,0.7731,0,0.8462,0.7
camera_depth,depth_min depth_p10 depth_median,random_forest,future_risk_label,balanced,oversample,0.05,future_risk_recall,1096,1 2 3 4 5 6 7 8 9 10 184 185 186 187,188 189 190 191 192 345,0.0711,0.1615,no_future_risk:719 future_risk:55,no_future_risk:270 future_risk:52,0.8385,0.6832,0.5828,0.6481,0,0.5962,0.7
radar_imu,radar_peak radar_peak_bin radar_energy imu_acc_norm imu_gyro_norm,random_forest,future_risk_label,balanced,oversample,0.05,future_risk_recall,1096,1 2 3 4 5 6 7 8 9 10 184 185 186 187,188 189 190 191 192 345,0.0711,0.1615,no_future_risk:719 future_risk:55,no_future_risk:270 future_risk:52,0.8385,0.6708,0.6043,0.7261,0,0.8077,0.6444
depth_radar_imu,depth_min depth_p10 depth_median radar_peak radar_peak_bin radar_energy imu_acc_norm imu_gyro_norm,random_forest,future_risk_label,balanced,oversample,0.05,future_risk_recall,1096,1 2 3 4 5 6 7 8 9 10 184 185 186 187,188 189 190 191 192 345,0.0711,0.1615,no_future_risk:719 future_risk:55,no_future_risk:270 future_risk:52,0.8385,0.6366,0.5835,0.729,0,0.8654,0.5926
