method,test_samples,test_positive_rate,threshold,pr_auc,risk_recall,false_negative_rate,balanced_accuracy,precision,ece,tp,tn,fp,fn
ttc_distance_threshold,2205,0.3383,0.95,0.784291,1.0,0.0,0.658328,0.427998,0.61362,746.0,462.0,997.0,0.0
small_mlp_risk_predictor,2205,0.3383,0.3,0.885459,0.991957,0.008043,0.825314,0.597738,0.09394,740.0,961.0,498.0,6.0
