sequence,case_id,planner,time_s,speed_mps,speed_bin,metric_frame,uav_profile,uav_profile_label,recorded_clearance_at_t_m,sensor_hz,sensor_period_ms,sensor_pipeline_ms,raw_costmap_update_ms,costmap_update_ms,raw_planner_compute_ms,planner_compute_ms,control_publish_ms,costmap_scale,planner_scale,total_delay_ms,delay_distance_m,goal_lookahead_s,min_clearance_m,collision,safety_violation,status,planner_failed,failure_reason,occupied_costmap_cells,costmap_width,costmap_height,costmap_layers
1,0,mppi,7.375,0.5756,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.226,10.0,100.0,20.0,0.405,3.608,11.314,27.629,15.0,1.5,2.0,166.236,0.0951,1.5,1.4716,0,0,safe,0,,4380,39,46,45
1,1,mppi,7.7375,0.5711,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.0601,10.0,100.0,20.0,0.435,3.652,11.213,27.426,15.0,1.5,2.0,166.078,0.0958,1.5,1.3458,0,0,safe,0,,4380,39,43,45
1,2,mppi,8.1,0.61,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.9004,10.0,100.0,20.0,0.306,3.459,11.107,27.214,15.0,1.5,2.0,165.672,0.1028,1.5,1.2335,0,0,safe,0,,4500,39,41,45
1,3,mppi,8.4625,0.6619,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.7393,10.0,100.0,20.0,0.267,3.4,11.108,27.217,15.0,1.5,2.0,165.617,0.1121,1.5,1.1977,0,0,safe,0,,4560,39,39,45
1,4,mppi,8.8125,0.7224,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.588,10.0,100.0,20.0,0.278,3.417,11.109,27.218,15.0,1.5,2.0,165.634,0.1228,1.5,1.2113,0,0,safe,0,,4500,40,39,45
1,5,mppi,9.175,0.7909,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.4382,10.0,100.0,20.0,0.273,3.41,11.132,27.264,15.0,1.5,2.0,165.674,0.1341,1.5,1.2152,0,0,safe,0,,4620,40,39,45
1,6,mppi,9.5375,0.845,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.2976,10.0,100.0,20.0,0.36,3.54,12.42,29.841,15.0,1.5,2.0,168.381,0.1435,1.5,1.202,0,0,safe,0,,4620,40,37,45
1,7,mppi,9.9,0.8688,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.209,10.0,100.0,20.0,0.259,3.388,13.701,32.402,15.0,1.5,2.0,170.791,0.1464,1.5,1.1963,0,0,safe,0,,4620,40,34,45
2,0,rrt,5.15,0.8312,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,3.3162,10.0,100.0,20.0,0.633,3.95,0.299,5.597,15.0,1.5,2.0,144.547,0.1221,1.5,2.1725,0,0,safe,0,,4560,55,45,45
2,1,rrt,5.5125,0.8947,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,3.0588,10.0,100.0,20.0,0.436,3.655,0.299,5.598,15.0,1.5,2.0,144.252,0.1307,1.5,1.9585,0,0,safe,0,,4500,52,45,45
