method,test_action_mse,inference_latency_ms_per_sample,max_step_m,cases,collision_rate,safety_violation_rate,mean_min_clearance_m,mean_path_length_m,mean_smoothness,mean_compute_time_ms,success_rate
plain_bc_mppi,0.00572333,0.000687,0.1722,45,0.0444,0.3111,1.3365,11.864,0.041653,7.6328,0.9556
filtered_bc_mppi,0.0147433,0.00036,0.1722,45,0.0444,0.0667,1.3809,11.553,0.086207,9.4894,0.9556
