source,probe_status,samples,total_probe_rows,total_messages,pointcloud_topics,pointcloud_messages,pointcloud2_messages,pointcloud_detection_messages,estimated_duration_s,estimated_db_size_gib,directly_comparable_to_oda,current_scope
ARCO Dataset,downloaded_rosbag_sqlite_topics,3,33,175997,3,26324,26324,21264,531.57,8.1342,no_ground_robot_reference_only,topic_and_message_stress_probe_not_segmentation
Multi-LiDAR Multi-UAV Dataset,link_probe_login_required,27,27,0,0,0,0,0,0.0,0.0,partial_uav_sensing_tracking_8_scenarios,27/27_links_require_login_no_local_pointcloud_processing
