sequence,obstacles,min_center_distance_m,min_boundary_clearance_m,closest_time_s,closest_index,closest_obstacle_index,collision,safety_violation,safety_distance_m,path_length_m,duration_s,mean_speed_mps,avoidance_label,computation_time_ms,method,planner_compute_time_ms,waypoint_count,smoothness_heading_change,safe_count,warning_count,danger_count,collision_count,future_risk_count,danger_or_collision_rate,future_risk_rate
196,2,0.7,0.5,3.4648,246,1,0,0,0.5,7.3025,9.6338,0.758,right,0.0915,astar_grid,5.7624,72,0.003772,387,298,0,0,0,0.0,0.0
196,2,0.7463,0.5463,6.2394,443,0,0,0,0.5,7.0948,9.6338,0.7364,right,0.0959,rrt,2.9809,3,1.8e-05,440,245,0,0,0,0.0,0.0
196,2,0.7023,0.5023,6.2254,442,0,0,0,0.5,7.084,9.6338,0.7353,right,0.095,rrt_star,1857.184,9,1e-05,409,276,0,0,0,0.0,0.0
196,2,0.943,0.743,3.1972,227,1,0,0,0.5,7.1165,9.6338,0.7387,right,0.0896,mppi,51.7859,60,1.5e-05,540,145,0,0,0,0.0,0.0
197,2,0.5054,0.3054,5.6901,404,1,0,1,0.5,7.3236,10.7887,0.6788,right,0.1546,human,0.0,767,0.546294,536,127,104,0,246,0.1356,0.3207
197,2,0.5586,0.3586,7.0704,502,0,0,1,0.5,7.1793,10.7887,0.6654,right,0.116,straight_line,2.6627,2,0.0,418,179,170,0,312,0.2216,0.4068
197,2,0.9384,0.7384,7.2676,516,0,0,0,0.5,7.2348,10.7887,0.6706,right,0.1015,geometric_bypass,5.603,4,3.3e-05,599,168,0,0,0,0.0,0.0
197,2,0.7,0.5,3.9859,283,1,0,0,0.5,7.4036,10.7887,0.6862,right,0.1018,astar_grid,6.6574,73,0.004534,485,282,0,0,0,0.0,0.0
197,2,0.7344,0.5344,7.6338,542,0,0,0,0.5,8.3225,10.7887,0.7714,right,0.0996,rrt,3.762,3,0.006722,569,198,0,0,0,0.0,0.0
197,2,0.7198,0.5198,7.1408,507,0,0,0,0.5,7.1913,10.7887,0.6666,right,0.0979,rrt_star,1955.7241,9,9e-06,474,293,0,0,0,0.0,0.0
197,2,0.9384,0.7384,7.2676,516,0,0,0,0.5,7.2341,10.7887,0.6705,right,0.1022,mppi,52.685,60,1.6e-05,599,168,0,0,0,0.0,0.0
198,2,0.5538,0.3538,4.6901,333,1,0,1,0.5,7.3799,10.7465,0.6867,left,0.1411,human,0.0,764,1.65256,531,160,73,0,143,0.0955,0.1872
198,2,0.5023,0.3023,4.1549,295,1,0,1,0.5,7.1412,10.7465,0.6645,left,0.1148,straight_line,2.6084,2,0.0,421,199,144,0,284,0.1885,0.3717
198,2,0.9378,0.7378,3.9437,280,1,0,0,0.5,7.2008,10.7465,0.6701,left,0.106,geometric_bypass,5.4944,4,4.1e-05,596,168,0,0,0,0.0,0.0
198,2,0.718,0.518,3.8028,270,1,0,0,0.5,7.303,10.7465,0.6796,left,0.1038,astar_grid,6.5068,72,0.003421,534,230,0,0,0,0.0,0.0
198,2,0.7802,0.5802,4.0423,287,1,0,0,0.5,7.1665,10.7465,0.6669,left,0.0982,rrt,4.1277,3,2.3e-05,502,262,0,0,0,0.0,0.0
198,2,0.7268,0.5268,4.2254,300,1,0,0,0.5,7.1599,10.7465,0.6663,left,0.0999,rrt_star,1982.5035,7,2.8e-05,480,284,0,0,0,0.0,0.0
198,2,0.9378,0.7378,3.9437,280,1,0,0,0.5,7.2005,10.7465,0.67,left,0.1012,mppi,51.8449,60,3.5e-05,596,168,0,0,0,0.0,0.0
199,2,0.7218,0.5218,6.4084,455,1,0,0,0.5,7.7637,10.9718,0.7076,right,0.1484,human,0.0,780,0.543699,640,140,0,0,0,0.0,0.0
199,2,0.642,0.442,5.4648,388,0,0,1,0.5,7.6181,10.9718,0.6943,left,0.1143,straight_line,2.6922,2,0.0,623,100,57,0,127,0.0731,0.1628
199,2,0.8761,0.6761,4.9859,354,0,0,0,0.5,8.2559,10.9718,0.7525,right,0.1001,geometric_bypass,5.6509,3,0.00041,620,160,0,0,0,0.0,0.0
199,2,0.7152,0.5152,4.7465,337,0,0,0,0.5,7.8279,10.9718,0.7135,left,0.1034,astar_grid,9.2299,59,0.004659,601,179,0,0,0,0.0,0.0
199,2,0.7649,0.5649,5.5634,395,0,0,0,0.5,7.7141,10.9718,0.7031,left,0.1084,rrt,2.9933,3,0.000432,554,226,0,0,0,0.0,0.0
199,2,0.7297,0.5297,5.493,390,0,0,0,0.5,7.6293,10.9718,0.6954,left,0.0979,rrt_star,1661.7106,5,4.1e-05,564,216,0,0,0,0.0,0.0
